Date,Region,AveragePrice,Index,SalesVolume,DetachedPrice,SemiDetachedPrice,TerracedPrice,FlatPrice,GVA (millions),Population,dist_from_lon,dist_from_lon_index,Unemployment,Population_nom,Claim_count,Unemployment_rate,GDP_per_cap,Inflation_index,Inflation,M4_growth,M4_supply,Yield_slope_r,Yield_slope_blc,Yield_slope,Local_pshs,Local_pshs_monthly,Regional_PSHS,Outstanding_perc,Good_perc,Inad_perc,2yr_95ltv,5yr_95ltv,2yr_90ltv,2yr_75ltv,3yr_75_ltv,5yr_75ltv,2yr-60ltv,2yr_85ltv,2yr_75ltvbtl,Migrant_inflow,Migrant_outflow,Net_immigration,Non_UK_born,Migrant_inflow_monthly,Migrant_outflow_monthly,Net_immigration_monthly,Cur_def_perc_gdp,Budget_deficit,Bank_rate,Bank_rate_change_indicator,Regional_population,LFS_population,LFS_active,LFS_employed,LFS_unemployed,LFS_active_perc,LFS_unemployed_perc,Quarter_indicator,GVA_diff,Nationwide_average_hprice_region,Nationwide_index_region
2000-03-31,East Midlands,117251.0414058974,72.39373321435897,21140.0,168634.77669299147,106716.98715752136,88154.73164837608,71878.37360700854,71688.33333333334,4036749.0,159840.00461783828,17.100195325759426,73791.53571428571,2930900.0,75954.99999999997,0.01574290243943812,16896.096864221592,660.7666666666665,0.0021773234891806492,3.7,778.8899867729995,-0.9061223432205745,-0.21912156871817956,-0.9061223432205745,,,3880.0,21.946153846153845,52.63589743589743,5.0307692307692315,6.849999999999996,7.1566666666666645,,6.673333333333339,6.759999999999997,7.046666666666674,,,,32963.5,13323.5,19640.0,501000.0,8240.875,3330.875,4910.0,-2.2000000000000015,-20.30999999999998,5.833333333333337,0.0,1107553570.0,2635000.0,2076666.6666666667,1968666.6666666663,107666.66666666661,0.788108243496283,0.05184443621895024,1,714.0,64560.93902122621,64560.93902122621
2000-06-30,East Midlands,118372.23368264957,72.96040098179486,20935.0,170463.67307641022,107712.38342555556,88893.85741316239,72586.75392769228,72409.0,4041446.333333333,159840.00461783828,17.100195325759426,73791.53571428571,2930900.0,69265.0,0.014229838075545327,17028.167883501053,673.1333333333339,0.005346186033363232,2.5,805.8409546972716,-0.9952833871844461,-0.09279147344342019,-0.9952833871844461,,,3870.0,21.946153846153845,52.63589743589743,5.0307692307692315,6.603333333333331,7.003333333333332,,6.386666666666662,6.6399999999999935,6.896666666666669,,,,32963.5,13323.5,19640.0,501000.0,8240.875,3330.875,4910.0,-2.700000000000002,-20.30999999999998,6.0,0.0,1107553570.0,2638333.333333332,2063000.0,1967333.3333333337,96333.33333333339,0.7819340274056009,0.046691114835201,2,240.0,66855.00673284662,66855.00673284662
2000-09-30,East Midlands,120004.01133837606,74.01851216213674,19562.0,172956.9570867521,109128.52078418806,90074.23955085469,73579.60224145299,76281.0,4327263.0,159840.00461783828,17.100195325759426,73791.53571428571,2930900.0,67156.66666666667,0.013402587580222832,16708.942599395235,674.2000000000005,0.0011936432418144793,2.5999999999999983,826.6408769683031,-0.7894673261743534,0.05423714767451999,-0.7894673261743534,,,3760.0,21.946153846153845,52.63589743589743,5.0307692307692315,6.5900000000000025,6.8899999999999935,,6.343333333333333,6.576666666666661,6.756666666666662,,,,32963.5,13323.5,19640.0,501000.0,8240.875,3330.875,4910.0,-2.5,-20.30999999999998,6.0,0.0,1107553570.0,2642333.333333332,2051666.6666666667,1953333.3333333337,98666.66666666661,0.7764611201018174,0.04809049747859383,3,864.0,67658.62307798886,67658.62307798886
2000-12-31,East Midlands,121517.4830259829,75.03129925418804,20739.0,175147.48730923075,110601.52753290598,91267.75122606837,74280.02521196581,76583.0,4328982.333333334,159840.00461783828,17.100195325759426,73791.53571428571,2930900.0,62890.00000000001,0.012614468952139786,16773.48436540553,678.4000000000004,0.000935064864243292,2.0,846.2902681798148,-0.5964846926315165,-0.04331079985463165,-0.5964846926315165,,,2960.0,21.946153846153845,52.63589743589743,5.0307692307692315,6.319999999999995,6.69333333333333,,6.046666666666672,6.229999999999996,6.4633333333333365,,,,32963.5,13323.5,19640.0,501000.0,8240.875,3330.875,4910.0,-2.099999999999999,-20.30999999999998,6.0,0.0,1107553570.0,2647000.0,2046333.3333333333,1948333.3333333337,98000.0,0.7730764646884725,0.04788999673351845,4,375.0,68859.22108249606,68859.22108249606
2001-03-31,East Midlands,122839.00304153848,75.79568395931624,20634.0,177176.8307113675,111796.6404486325,92189.02128726497,74729.7965048718,77025.0,4334119.666666666,159840.00461783828,17.100195325759426,67409.69230769231,4110100.0,69790.00000000001,0.014215258486220246,16855.558831102982,677.5999999999996,1.1403677060354654e-05,2.799999999999998,864.4883266871338,-0.33529640517507175,0.2505587496705425,-0.33529640517507175,,,3590.0,21.946153846153845,52.63589743589743,5.0307692307692315,5.889999999999995,6.163333333333329,,5.72,6.03,6.016666666666673,,,,32963.5,13323.5,19640.0,501000.0,8240.875,3330.875,4910.0,-1.700000000000001,-25.490000000000006,5.875,0.0,1107553570.0,2651333.333333332,2048000.0,1949666.6666666663,98333.33333333339,0.772440903767521,0.04801067065693654,1,383.0,70637.04714804706,70637.04714804706
2001-06-30,East Midlands,123994.05649854698,76.55711135589745,20251.0,179267.78577017097,112834.87687435899,92906.27886871794,75259.16797213677,77187.0,4340269.666666666,159840.00461783828,17.100195325759426,67409.69230769231,4110100.0,64228.33333333335,0.012917556412583396,16874.377505998837,686.033333333333,0.004253464461562087,1.9,878.8907682515533,0.0627889726867495,0.5388289636009265,0.0627889726867495,,,3550.0,21.946153846153845,52.63589743589743,5.0307692307692315,5.763333333333329,5.960000000000006,,5.666666666666663,5.783333333333332,5.82333333333333,,,,32963.5,13323.5,19640.0,501000.0,8240.875,3330.875,4910.0,-2.5,-25.490000000000006,5.416666666666663,0.0,1107553570.0,2656000.0,2055000.0,1952333.3333333337,102666.66666666661,0.7737195103951466,0.049960260556631775,2,144.0,73145.4144796761,73145.4144796761
2001-09-30,East Midlands,124384.22091863249,76.64337630700855,18570.0,179631.22056111114,113192.00461914529,93139.88354777778,75453.38999170938,77349.66666666667,4346789.333333334,159840.00461783828,17.100195325759426,67409.69230769231,4110100.0,61201.66666666665,0.012160453739540568,16902.72987631533,686.2999999999995,0.00039853465972376285,1.399999999999999,899.1435293367435,0.2573536282109223,0.6268709879580037,0.2573536282109223,,,3964.871794871795,21.946153846153845,52.63589743589743,5.0307692307692315,5.916666666666663,6.163333333333329,,5.629999999999997,5.830000000000005,5.916666666666663,,,,32196.833333333336,12916.166666666666,19280.666666666668,490666.6666666666,8049.208333333334,3229.0416666666665,4820.166666666667,-2.4000000000000012,-25.490000000000006,5.041666666666664,0.0,1107553570.0,2662333.333333332,2073000.0,1976666.6666666667,96000.0,0.7786385440768582,0.04631367754831111,3,198.0,76250.06541226276,76250.06541226276
2001-12-31,East Midlands,122403.40965623931,75.33332802564101,18610.0,176680.70701273502,111141.67625803415,91625.7382491453,74229.64738829058,70480.33333333334,4093611.0,159840.00461783828,17.100195325759426,65350.5,3879400.0,57330.00000000001,0.011206570939503216,16678.092245367825,685.533333333333,-0.0022789718599659126,1.2999999999999992,915.9719879032198,0.6765064649811839,1.0294565495271373,0.6765064649811839,,,3280.0,21.946153846153845,52.63589743589743,5.0307692307692315,5.349999999999996,5.7933333333333294,,4.960000000000001,5.370000000000003,5.583333333333337,,,,30663.5,12101.5,18562.0,470000.0,7665.875,3025.375,4640.5,-2.0,-25.490000000000006,4.291666666666666,0.0,1107553570.0,2669000.0,2071666.6666666667,1976666.6666666667,94666.66666666661,0.776195183680034,0.045691948552687,4,-31.0,79186.02593493728,79186.02593493728
2002-03-31,East Midlands,122814.6380611111,75.6558298702564,18991.0,177381.1936545299,111478.2341837607,91895.876098547,74169.40448307694,70561.33333333333,4097008.3333333335,159840.00461783828,17.100195325759426,68096.10256410256,4140700.0,63123.333333333336,0.012487975381925356,16701.618234859852,685.9000000000004,0.0020927669335140857,2.099999999999999,928.5337080372655,0.6149237678198648,0.8230368257889601,0.6149237678198648,,,3340.0,21.946153846153845,52.63589743589743,5.0307692307692315,5.4266666666666685,5.896666666666669,,5.139999999999995,5.539999999999998,5.7133333333333365,,,,30663.5,12101.5,18562.0,470000.0,7665.875,3025.375,4640.5,-2.299999999999998,-12.230000000000006,4.0,0.0,1107553570.0,2675666.666666668,2078333.3333333333,1981666.6666666667,96333.33333333339,0.7767525967660448,0.04635748776229719,1,-54.0,82226.16350734854,82226.16350734854
2002-06-30,East Midlands,123626.19500051283,76.04855791487181,19147.0,178750.0347354701,112252.22334871795,92290.63907991452,74568.33303564104,70484.66666666666,4103859.0,159840.00461783828,17.100195325759426,68096.10256410256,4140700.0,58610.0,0.011315371948304388,16657.619737408528,694.4333333333341,0.003237670803540277,2.0,944.3927393085148,0.6996590233410452,0.8401040804226403,0.6996590233410452,,,4150.0,21.946153846153845,52.63589743589743,5.0307692307692315,5.646666666666669,6.023333333333339,,5.396666666666669,5.733333333333328,5.846666666666665,,,,30663.5,12101.5,18562.0,470000.0,7665.875,3025.375,4640.5,-3.099999999999998,-12.230000000000006,4.0,0.0,1107553570.0,2682666.666666668,2105666.6666666665,2009333.3333333333,96333.33333333339,0.784914685897636,0.045748997821212174,2,103.0,89898.49132819932,89898.49132819932
