Date,Region,AveragePrice,Index,SalesVolume,DetachedPrice,SemiDetachedPrice,TerracedPrice,FlatPrice,GVA (millions),Population,dist_from_lon,dist_from_lon_index,Unemployment,Population_nom,Claim_count,Unemployment_rate,GDP_per_cap,Inflation_index,Inflation,M4_growth,M4_supply,Yield_slope_r,Yield_slope_blc,Yield_slope,Local_pshs,Local_pshs_monthly,Regional_PSHS,Outstanding_perc,Good_perc,Inad_perc,2yr_95ltv,5yr_95ltv,2yr_90ltv,2yr_75ltv,3yr_75_ltv,5yr_75ltv,2yr-60ltv,2yr_85ltv,2yr_75ltvbtl,Migrant_inflow,Migrant_outflow,Net_immigration,Non_UK_born,Migrant_inflow_monthly,Migrant_outflow_monthly,Net_immigration_monthly,Cur_def_perc_gdp,Budget_deficit,Bank_rate,Bank_rate_change_indicator,Regional_population,LFS_population,LFS_active,LFS_employed,LFS_unemployed,LFS_active_perc,LFS_unemployed_perc,Quarter_indicator,GVA_diff
2017-01-01,Wales,93606.4567909091,68.79921784454547,4168.0,140873.8719727273,88960.7571468182,72214.51040500001,60096.99434454544,39913.0,2559497.0,255356.1582878378,27.318819182955952,87337.90909090909,2630100.0,40940.0,0.013259028245293123,14418.888655938394,1047.4000000000003,-0.005978931384644559,,,,,,,,1442.2727272727273,,,,3.62,4.579999999999999,2.5,1.4499999999999995,1.75,2.2199999999999993,1.3299999999999992,1.7800000000000005,2.82,,,,,,,,-3.9000000000000004,7.400000000000003,0.25,0.0,747722852.0,1900000.0,1474000.0,1401000.0,73000.0,0.7757894736842101,0.04952510176390776,1.0,135.0
2017-02-01,Wales,94394.99023590908,69.35728630181819,4142.0,142066.67257318177,89735.73941181818,72815.49111636363,60459.45978727273,39913.0,2559497.0,255356.1582878378,27.318819182955952,87337.90909090909,2630100.0,42435.0,0.013669198328558263,14418.888655938394,1058.7999999999995,0.01088409394691614,,,,,,,,1442.2727272727273,,,,3.7999999999999985,4.620000000000001,2.450000000000001,1.4200000000000008,1.7,2.2000000000000006,1.3500000000000005,1.7100000000000006,2.7400000000000015,,,,,,,,-3.9000000000000004,7.400000000000003,0.25,0.0,747722852.0,1900000.0,1458000.0,1386000.0,73000.0,0.7673684210526317,0.050068587105624125,1.0,0.0
2017-03-01,Wales,95175.56989772727,69.89677975863636,3983.0,143276.8969986364,90407.32070363637,73408.35332818184,60849.748950454545,39913.0,2559497.0,255356.1582878378,27.318819182955952,87337.90909090909,2630100.0,42985.0,0.013762151228293896,14418.888655938394,1062.4000000000003,0.0034000755572347607,,,,,,,,1442.2727272727273,,,,3.99,4.700000000000002,2.4799999999999986,1.3700000000000008,1.68,2.149999999999999,1.2800000000000002,1.6700000000000008,2.619999999999999,,,,,,,,-3.9000000000000004,7.400000000000003,0.25,0.0,747722852.0,1899000.0,1448000.0,1378000.0,69000.0,0.7625065824117955,0.04765193370165744,1.0,0.0
2017-04-01,Wales,96182.54038045456,70.73101758318181,4204.0,144889.52594454543,91384.035555,74170.1274322727,61522.08223636364,39913.0,2559497.0,255356.1582878378,27.318819182955952,87337.90909090909,2630100.0,42395.0,0.013461445951915708,14418.888655938394,1067.5,0.004800451807228878,,,,,,,,1442.2727272727273,,,,4.040000000000002,4.700000000000002,2.43,1.3500000000000005,1.6499999999999992,2.0900000000000007,1.2399999999999993,1.6200000000000003,2.5399999999999996,,,,,,,,-5.099999999999998,7.400000000000003,0.25,0.0,747722852.0,1899000.0,1447000.0,1380000.0,67000.0,0.7619799894681413,0.04630269523151345,2.0,0.0
2017-05-01,Wales,97199.818495,71.38855723863637,4061.0,146533.50040409094,92334.95024954545,74835.51959727275,62226.04598636364,39938.0,2559908.0,255356.1582878378,27.318819182955952,87337.90909090909,2630100.0,40800.0,0.012874598140188855,14427.552823662287,1071.9000000000003,0.004121779859484809,,,,,,,,1442.2727272727273,,,,4.189999999999999,4.72,2.5,1.4899999999999993,1.7299999999999998,2.0300000000000007,1.2899999999999994,1.6499999999999992,2.619999999999999,,,,,,,,-5.099999999999998,7.400000000000003,0.25,0.0,747722852.0,1899000.0,1439000.0,1374000.0,65000.0,0.7577672459189043,0.04517025712300207,2.0,25.0
2017-06-01,Wales,97883.63503590907,71.99458534045453,4318.0,147718.63646181815,93069.81582090909,75350.28907954544,62785.630755454535,39938.0,2559908.0,255356.1582878378,27.318819182955952,87337.90909090909,2630100.0,39670.0,0.01249050191552165,14427.552823662287,1074.2000000000005,0.0021457225487451215,,,,,,,,1442.2727272727273,,,,4.200000000000002,4.739999999999998,2.5,1.4800000000000002,1.7,1.99,1.3799999999999992,1.6499999999999992,2.61,,,,,,,,-5.099999999999998,7.400000000000003,0.25,0.0,747722852.0,1898000.0,1435000.0,1375000.0,60000.0,0.7560590094836672,0.04181184668989547,2.0,0.0
2017-07-01,Wales,98171.91153863636,72.25635414409092,3881.0,148238.07759363635,93378.97277227274,75551.78339863637,62919.68472727272,40502.0,2564995.0,255356.1582878378,27.318819182955952,87337.90909090909,2630100.0,39000.0,0.012266826508979457,14548.544240200625,1076.5999999999997,0.0022342208154904064,,,,,,,,1442.2727272727273,,,,4.0699999999999985,4.670000000000001,2.369999999999999,1.41,1.81,1.9699999999999995,1.2300000000000002,1.57,2.630000000000001,,,,,,,,-3.7000000000000015,7.400000000000003,0.25,0.0,747722852.0,1898000.0,1438000.0,1377000.0,61000.0,0.7576396206533196,0.04242002781641166,3.0,564.0
2017-08-01,Wales,98439.09927499999,72.5284119,3909.0,148626.14024909094,93610.78053636366,75776.45947181818,63155.381375454555,40502.0,2564995.0,255356.1582878378,27.318819182955952,87337.90909090909,2630100.0,39000.0,0.012203033873142512,14548.544240200625,1083.7000000000005,0.006594835593535242,,,,,,,,1442.2727272727273,,,,4.019999999999997,4.629999999999999,2.3299999999999987,1.43,1.6200000000000003,1.9600000000000006,1.2399999999999993,1.5799999999999992,2.549999999999999,,,,,,,,-3.7000000000000015,7.400000000000003,0.25,0.0,747722852.0,1898000.0,1451000.0,1382000.0,68000.0,0.7644889357218125,0.046864231564438315,3.0,0.0
2017-09-01,Wales,98034.70313772727,72.09533908909093,4001.0,148207.00982454547,93207.08479181818,75397.40450318181,62845.354094090915,40619.0,2566108.0,255356.1582878378,27.318819182955952,87337.90909090909,2630100.0,38165.0,0.012010572619256128,14587.73496603451,1085.2999999999995,0.0014764233643995706,,,,,,,,1442.2727272727273,,,,4.010000000000001,4.6800000000000015,2.3100000000000005,1.3999999999999995,1.6000000000000005,1.8999999999999992,1.2300000000000002,1.57,2.5200000000000014,,,,,,,,-3.7000000000000015,7.400000000000003,0.25,0.0,747722852.0,1897000.0,1450000.0,1378000.0,71000.0,0.7643647865050078,0.04896551724137931,3.0,117.0
2017-10-01,Wales,98412.57812045455,72.26971298227272,3957.0,148558.45473681815,93549.28217227274,75734.91876363636,63116.97149545455,40619.0,2566108.0,255356.1582878378,27.318819182955952,87337.90909090909,2630100.0,37575.0,0.011849442404016216,14587.73496603451,1086.0999999999997,0.0007371233760249396,,,,,,,,1442.2727272727273,,,,4.019999999999997,4.709999999999997,2.36,1.5500000000000005,1.7,2.0399999999999996,1.4400000000000004,1.6599999999999995,2.5200000000000014,,,,,,,,-3.5999999999999996,7.400000000000003,0.25,0.0,747722852.0,1897000.0,1452000.0,1379000.0,73000.0,0.7654190827622567,0.05027548209366393,4.0,0.0
